Area,Metric,Firm,,,Equity Partner,,,Partner,,,Associate,,
People and operations,Diversity metrics,Composition across the firm by gender/background/seniority.,"HR demographic data, reported in aggregate.",Improve representation across levels.,Diversity within the partner-owner's team.,Diversity within the partner's team.,Build and sponsor a diverse team.,Diversity of associates this partner staffs/mentors.,Diversity of associates staffed/mentored.,Give equitable access to good work.,Proxy: equitable access to development opportunities.,Access to development opportunities (program data).,Engage with inclusion and mentoring programs.
People and operations,Engagement / satisfaction,Firm-wide morale and engagement.,"Periodic anonymous engagement survey, firm-wide.",Lift engagement scores.,Engagement within the partner-owner's team.,Team engagement scores.,Lead a motivated team.,Engagement of supervised associates.,Engagement of supervised associates.,Create a supportive working environment.,Proxy: own engagement survey response.,Own survey response.,Participate honestly; flag what would help.
People and operations,Cycle time per matter type,"Avg open-to-close time by matter type, firm-wide.",Matter system: open-to-close duration by matter type.,Streamline slow matter types.,Cycle time across the partner-owner's matters.,Across the partner's matters.,Drive efficient matter delivery.,Cycle time on matters this partner manages.,On managed matters.,Keep matters moving to closure.,Proxy: task turnaround time.,Task turnaround time from matter records.,Turn assigned tasks around promptly.
People and operations,Drafting turnaround time,"Avg time to produce drafts (opinions, pleadings, agreements) from instruction, firm-wide. Within the firm's control.","Matter/DMS timestamps: instruction-to-draft duration, firm aggregate.",Speed up drafting without sacrificing quality.,Drafting turnaround across the equity partner's book.,Across the partner's book.,Set the pace and quality bar for drafting.,Drafting turnaround on this partner's matters.,On the partner's matters.,Deliver drafts promptly to clients/courts.,Own drafting turnaround on assigned work.,Own instruction-to-draft turnaround.,Produce quality drafts within target time.
People and operations,Hearing-prep responsiveness,"Firm-controllable responsiveness around hearings (time to file once listed, prep readiness, post-hearing follow-up). Excludes court-driven listing/adjournment delay outside the firm's control.",Matter system: time-to-file once listed + prep readiness flags (excludes court delay).,Be ready and responsive on every listed hearing.,Hearing responsiveness across the equity partner's matters.,Across the partner's matters.,Ensure the book is always hearing-ready.,Hearing responsiveness on this partner's matters.,On the partner's matters.,Prepare and file on time for listed hearings.,Own readiness/turnaround for hearing prep tasks.,Own hearing-prep task turnaround.,Complete hearing-prep tasks ahead of deadlines.
People and operations,Billing cycle length,"Avg days from work done to invoice, firm-wide.",Billing system: avg days from work done to invoice issued.,Compress the bill-issue cycle.,Billing speed on the partner-owner's book.,Billing speed on the partner's book.,Bill promptly after work is done.,Billing speed on managed matters.,Billing speed on managed matters.,Raise bills without delay.,Proxy: time-entry timeliness.,Own time-entry timeliness.,Enter time daily to enable fast billing.
People and operations,Cost-to-collect ratio,"Cost of billing/collections vs collected, firm-wide.",Finance: collections-function cost / total collected.,Run collections efficiently.,Collection effort vs cash on the partner-owner's book.,Collection effort vs cash on the partner's book.,Manage client payment proactively.,Collection follow-up on managed matters.,Collection follow-up on managed matters.,Chase outstanding bills on own matters.,Proxy: responsiveness to billing/collection queries.,Responsiveness to billing/collection queries.,Support billing queries quickly and accurately.
Growth and pipeline,Revenue growth by practice area,"Year-over-year revenue per practice, firm-wide.",Finance: YoY revenue per practice.,Invest where growth is real.,Growth of the partner-owner's practice/book.,YoY growth of the partner's book.,Grow the book faster than the market.,Revenue growth on this partner's matters/clients.,Revenue growth on the partner's matters/clients.,Expand existing relationships.,Proxy: growth in own fee contribution.,Growth in own fee contribution.,Grow personal billable contribution over time.
Growth and pipeline,Geography-wise revenue growth,"Year-over-year revenue by office/region, firm-wide.",Finance: YoY revenue by office/region.,Track where growth is geographically concentrated.,"Proxy: growth of the equity partner's revenue by location, where relevant.",Partner's revenue by location where relevant.,Grow the book across relevant geographies.,Not directly measured | rolls up.,Rolls up.,—,Not directly measured | rolls up.,Rolls up.,—
Growth and pipeline,New-office ramp / breakeven,Maturity of newly opened offices: months to breakeven and ramp to target revenue (new offices run at a loss before maturing).,"Office-level P&L: months to breakeven, revenue vs ramp plan.",Bring new offices to breakeven on plan; isolate their drag from blended growth.,"Proxy: contribution to a new office's ramp, if the partner is involved.",Partner's contribution to a new office's ramp.,Support new-office growth toward breakeven.,Not directly measured | rolls up.,Rolls up.,—,Not directly measured | rolls up.,Rolls up.,—
Growth and pipeline,Cross-sell pipeline & win rate,Expansion into existing clients: pipeline value and win rate. Origination credit attaches here (active expansion effort).,CRM/BD: expansion-opportunity value and win rate on existing clients.,Grow expansion revenue; cheaper and higher-probability than new logos.,Cross-sell pipeline/wins attributable to the equity partner.,Cross-sell pipeline/wins credited to the partner.,Expand existing relationships into new mandates.,Cross-sell pitches and wins for this partner.,Cross-sell pitches/wins for the partner.,Convert existing clients into wider mandates.,Proxy: cross-practice opportunities surfaced/supported.,Cross-practice opportunities surfaced/supported.,Spot and feed expansion opportunities.
Growth and pipeline,Inbound new-client pipeline & win rate,"New clients who approach the firm (reputation/referral/brand): pipeline and win rate. NO origination credit (institutional, not individual, effort); inbound share rewards the firm's brand.",CRM/BD: inbound-sourced opportunity value and win rate (referral/reputation/brand tag).,Grow inbound share — the payoff on brand and discoverability.,Inbound interest attributable to the equity partner's reputation.,Inbound interest attributed to the partner's reputation.,Build a reputation that draws inbound work.,Inbound interest reaching this partner.,Inbound interest reaching the partner.,Build a profile that attracts inbound.,Not directly measured | rolls up.,Rolls up.,—
Growth and pipeline,Outbound new-client pipeline & win rate,New clients won via firm-initiated pursuit: pipeline and win rate. Origination credit attaches here (active rainmaking).,CRM/BD: firm-initiated opportunity value and win rate.,Win new logos to grow and de-risk client concentration.,Outbound pipeline/wins attributable to the equity partner.,Outbound pipeline/wins credited to the partner.,Pursue and win new client logos.,Outbound pitch involvement and win rate for this partner.,Outbound pitch involvement and win rate.,Help win new clients through active pursuit.,Proxy: contribution to winning outbound pitches.,Logged contribution to outbound pitches.,Add value to new-client pitch efforts.
Growth and pipeline,Matter origination,"Revenue credited to originating partners, firm-wide. Credited on cross-sell and outbound only; inbound work is treated as brand-driven and not individually originated, to avoid misattributing an institutional asset.",Finance/CRM: revenue credited to originating partner on cross-sell + outbound only (inbound excluded).,"Broaden the origination base; reward genuine rainmaking, not brand-driven inbound.",Origination credited to this equity partner (cross-sell + outbound).,Origination credited to the equity partner (cross-sell + outbound).,Originate and grow the firm's revenue.,Origination/referrals credited to this partner (cross-sell + outbound).,Origination/referrals credited to the partner (cross-sell + outbound).,Begin building an origination record.,Proxy: work referred or client expansion contributed.,Work referred or client expansion contributed.,Surface leads and expansion opportunities.
Brand and discoverability,Search visibility,"Organic rankings/traffic for target topics, firm-wide.",SEO tool + Search Console: rankings/traffic for target topics.,Own discoverability on practice topics.,Visibility of the partner-owner's practice content/profile.,Visibility of the partner's content/profile.,Be findable as a leader in the field.,Searchability of this partner's profile/expertise.,Searchability of the partner's profile.,Maintain a discoverable expert profile.,Proxy: completeness/visibility of own firm profile.,Completeness/visibility of own firm profile.,"Keep an accurate, discoverable profile."
Brand and discoverability,Share of voice vs peers,"Visibility relative to peer firms, firm-wide.",SEO tool competitive comparison + directory audit.,Out-publish and out-rank competitors on key topics.,The partner-owner's prominence vs peer leaders.,Partner's prominence vs peer leaders.,Be a recognised voice in the practice area.,This partner's visibility vs peers at level.,Partner's visibility vs peers at level.,Build name recognition in the niche.,Proxy: visibility within internal/peer channels.,Visibility within internal/peer channels.,Build a reputation among peers and seniors.
Brand and discoverability,Directory presence and rankings,"Standing in legal directories, firm-wide.","Tracked listings: Chambers, Legal500, RSG, IBLJ, etc.","Improve firm rankings (Chambers, Legal500, etc.).",Individual ranking/recognition in directories.,Individual directory ranking/recognition.,Earn and defend individual directory rankings.,Directory recognition trajectory for this partner.,Directory recognition trajectory.,Work toward individual ranked status.,Proxy: individual profile/thought-leadership presence.,Individual profile/thought-leadership presence.,Build a citable body of published work.
Brand and discoverability,Awards and honours,"Firm and individual awards and honours beyond directory rankings (Firm/Practice/Deal of the Year, Lawyer of the Year, rising-star lists). Track tier/credibility and a submissions-shortlist-wins funnel, not a raw count of vanity awards.","Internal awards log: submissions, shortlists, wins by tier (excl. directory rankings).","Win credible, tiered recognition; ignore pay-to-enter vanity awards.",Individual honours won/shortlisted by this equity partner.,Individual honours won/shortlisted by the equity partner.,Earn top individual recognition in the field.,Individual awards and shortlists for this partner.,Individual awards/shortlists for the partner.,Build toward credible individual honours.,Proxy: rising-star/under-40 eligibility and individual mentions.,Rising-star/under-40 eligibility and individual mentions.,Become eligible for and earn early-career recognition.
Brand and discoverability,Media mentions and quality,"Volume and tier of coverage, firm-wide.",Media monitoring or manual tracking by outlet tier.,Earn quality expert coverage.,Media quoting this equity partner as expert.,Media quoting the equity partner as expert.,Be a go-to expert source.,Media/commentary featuring this partner.,Media/commentary featuring the partner.,Begin building a media profile.,Proxy: contributions to firm articles/commentary.,Contributions to firm articles/commentary.,Contribute to publishable content.
Brand and discoverability,Thought-leadership output,"Volume + engagement of articles/alerts, firm-wide.",CMS/analytics: pieces published + views/downloads.,Sustain a strong content engine.,Output attributable to the partner-owner.,Output attributed to the equity partner.,Publish authoritative content regularly.,This partner's published output and engagement.,Partner's published output and engagement.,Build a consistent publishing habit.,Proxy: own articles/alerts authored or co-authored.,Own articles/alerts authored or co-authored.,Produce thought-leadership pieces.
Brand and discoverability,Social reach and engagement,Firm + partner social reach and engagement.,Platform analytics: firm + partner reach and engagement.,Grow earned social engagement.,The partner-owner's professional social reach.,Partner's professional social reach.,Maintain an engaged professional following.,This partner's social engagement.,Partner's social engagement.,Build a professional audience.,Proxy: own professional-network engagement.,Own professional-network engagement.,Engage professionally and appropriately online.
